NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=672.147s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.123,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.146s, table=0, n_packets=8, n_bytes=432, idle_age=483, priority=200,tcp,nw_src=192.168.5.124,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.145s, table=0, n_packets=7, n_bytes=378, idle_age=453, priority=200,tcp,nw_src=192.168.5.131,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.144s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.134,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.143s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.137,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.143s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.138,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.142s, table=0, n_packets=4, n_bytes=216, idle_age=382, priority=200,tcp,nw_src=192.168.5.142,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.141s, table=0, n_packets=2, n_bytes=108, idle_age=315, priority=200,tcp,nw_src=192.168.5.146,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.140s, table=0, n_packets=26, n_bytes=1472, idle_age=197, priority=200,tcp,nw_src=192.168.5.148,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.139s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.149,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.138s, table=0, n_packets=13, n_bytes=702, idle_age=359, priority=200,tcp,nw_src=192.168.5.151,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.137s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.152,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.137s, table=0, n_packets=8, n_bytes=432, idle_age=226, priority=200,tcp,nw_src=192.168.5.159,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.136s, table=0, n_packets=8, n_bytes=432, idle_age=403, priority=200,tcp,nw_src=192.168.5.162,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.135s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.165,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.134s, table=0, n_packets=2, n_bytes=108, idle_age=197, priority=200,tcp,nw_src=192.168.5.166,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.133s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.170,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.132s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.174,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.131s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.176,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.130s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.177,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.129s, table=0, n_packets=2, n_bytes=108, idle_age=335, priority=200,tcp,nw_src=192.168.5.179,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.129s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.180,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.127s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.187,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.126s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.190,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.125s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.193,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.124s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.194,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.123s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.198,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.122s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.202,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.121s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.204,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.121s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.205,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.120s, table=0, n_packets=0, n_bytes=0, idle_age=672, priority=200,tcp,nw_src=192.168.5.207,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.119s, table=0, n_packets=3, n_bytes=162, idle_age=230, priority=200,tcp,nw_src=192.168.5.208,nw_dst=192.168.5.100,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.118s, table=0, n_packets=35, n_bytes=1890, idle_age=205, priority=200,tcp,nw_src=192.168.5.109,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.118s, table=0, n_packets=9, n_bytes=486, idle_age=156, priority=200,tcp,nw_src=192.168.5.110,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.117s, table=0, n_packets=15, n_bytes=810, idle_age=154, priority=200,tcp,nw_src=192.168.5.111,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.116s, table=0, n_packets=12, n_bytes=648, idle_age=267, priority=200,tcp,nw_src=192.168.5.112,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.115s, table=0, n_packets=34, n_bytes=1836, idle_age=163, priority=200,tcp,nw_src=192.168.5.113,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.114s, table=0, n_packets=27, n_bytes=1458, idle_age=157, priority=200,tcp,nw_src=192.168.5.114,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.113s, table=0, n_packets=22, n_bytes=1188, idle_age=147, priority=200,tcp,nw_src=192.168.5.116,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.112s, table=0, n_packets=27, n_bytes=1458, idle_age=187, priority=200,tcp,nw_src=192.168.5.118,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.112s, table=0, n_packets=15, n_bytes=810, idle_age=171, priority=200,tcp,nw_src=192.168.5.122,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.110s, table=0, n_packets=7, n_bytes=378, idle_age=142, priority=200,tcp,nw_src=192.168.5.123,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.110s, table=0, n_packets=19, n_bytes=1026, idle_age=185, priority=200,tcp,nw_src=192.168.5.137,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.109s, table=0, n_packets=18, n_bytes=972, idle_age=160, priority=200,tcp,nw_src=192.168.5.138,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.109s, table=0, n_packets=25, n_bytes=1350, idle_age=124, priority=200,tcp,nw_src=192.168.5.139,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.108s, table=0, n_packets=9, n_bytes=486, idle_age=156, priority=200,tcp,nw_src=192.168.5.140,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.107s, table=0, n_packets=25, n_bytes=1350, idle_age=138, priority=200,tcp,nw_src=192.168.5.141,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.106s, table=0, n_packets=30, n_bytes=1620, idle_age=126, priority=200,tcp,nw_src=192.168.5.142,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.105s, table=0, n_packets=20, n_bytes=1080, idle_age=142, priority=200,tcp,nw_src=192.168.5.144,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.104s, table=0, n_packets=14, n_bytes=756, idle_age=140, priority=200,tcp,nw_src=192.168.5.146,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.103s, table=0, n_packets=7, n_bytes=378, idle_age=130, priority=200,tcp,nw_src=192.168.5.150,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.103s, table=0, n_packets=14, n_bytes=756, idle_age=184, priority=200,tcp,nw_src=192.168.5.151,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.101s, table=0, n_packets=29, n_bytes=1566, idle_age=106, priority=200,tcp,nw_src=192.168.5.165,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.100s, table=0, n_packets=29, n_bytes=1566, idle_age=105, priority=200,tcp,nw_src=192.168.5.166,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.099s, table=0, n_packets=15, n_bytes=810, idle_age=104, priority=200,tcp,nw_src=192.168.5.167,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.098s, table=0, n_packets=23, n_bytes=1242, idle_age=99, priority=200,tcp,nw_src=192.168.5.168,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.098s, table=0, n_packets=25, n_bytes=1350, idle_age=101, priority=200,tcp,nw_src=192.168.5.169,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.097s, table=0, n_packets=15, n_bytes=810, idle_age=97, priority=200,tcp,nw_src=192.168.5.170,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.096s, table=0, n_packets=19, n_bytes=1026, idle_age=95, priority=200,tcp,nw_src=192.168.5.172,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.095s, table=0, n_packets=6, n_bytes=324, idle_age=239, priority=200,tcp,nw_src=192.168.5.174,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.094s, table=0, n_packets=22, n_bytes=1188, idle_age=91, priority=200,tcp,nw_src=192.168.5.178,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.093s, table=0, n_packets=20, n_bytes=1080, idle_age=113, priority=200,tcp,nw_src=192.168.5.179,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.092s, table=0, n_packets=17, n_bytes=918, idle_age=76, priority=200,tcp,nw_src=192.168.5.193,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.091s, table=0, n_packets=15, n_bytes=810, idle_age=95, priority=200,tcp,nw_src=192.168.5.194,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.090s, table=0, n_packets=17, n_bytes=918, idle_age=74, priority=200,tcp,nw_src=192.168.5.195,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.090s, table=0, n_packets=15, n_bytes=810, idle_age=81, priority=200,tcp,nw_src=192.168.5.196,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.089s, table=0, n_packets=23, n_bytes=1242, idle_age=75, priority=200,tcp,nw_src=192.168.5.197,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.088s, table=0, n_packets=12, n_bytes=648, idle_age=94, priority=200,tcp,nw_src=192.168.5.198,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.087s, table=0, n_packets=22, n_bytes=1188, idle_age=70, priority=200,tcp,nw_src=192.168.5.200,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.086s, table=0, n_packets=15, n_bytes=810, idle_age=69, priority=200,tcp,nw_src=192.168.5.202,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.085s, table=0, n_packets=16, n_bytes=864, idle_age=67, priority=200,tcp,nw_src=192.168.5.206,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.084s, table=0, n_packets=15, n_bytes=810, idle_age=66, priority=200,tcp,nw_src=192.168.5.207,nw_dst=192.168.5.1,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.083s, table=0, n_packets=20, n_bytes=1080, idle_age=509, priority=200,tcp,nw_src=192.168.5.103,nw_dst=192.168.5.101,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.082s, table=0, n_packets=10, n_bytes=540, idle_age=221, priority=200,tcp,nw_src=192.168.5.106,nw_dst=192.168.5.101,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.081s, table=0, n_packets=311, n_bytes=19927, idle_age=165, priority=200,tcp,nw_src=192.168.5.109,nw_dst=192.168.5.101,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.081s, table=0, n_packets=9, n_bytes=486, idle_age=529, priority=200,tcp,nw_src=192.168.5.110,nw_dst=192.168.5.101,tp_dst=23 actions=NORMAL
 cookie=0x0, duration=672.080s, table=0, n_packets=11, n_bytes=594, idle_age=531, priority=200,tcp,nw_src=192.168.5.114,nw_dst=192.168.5.101,tp_dst=23 actions=NORMAL
